shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1_shp,-6.60366,106.80612,0,0.00
1_shp,-6.60187,106.80531,1,0.01
1_shp,-6.60146,106.80480,2,0.02
1_shp,-6.60109,106.80525,3,0.03
1_shp,-6.60432,106.80694,4,0.04
1_shp,-6.60165,106.81101,5,0.05
1_shp,-6.60459,106.80726,6,0.06
1_shp,-6.60760,106.80983,7,0.07
1_shp,-6.61235,106.81303,8,0.08
1_shp,-6.61586,106.81456,9,0.09
1_shp,-6.6212,106.8166,10,0.10
1_shp,-6.6218,106.8169,11,0.11
1_shp,-6.6241,106.8197,12,0.12
1_shp,-6.6283,106.8235,13,0.13
1_shp,-6.6331,106.8257,14,0.14
1_shp,-6.6353,106.8275,15,0.15
1_shp,-6.6405,106.8353,16,0.16
1_shp,-6.6470,106.8424,17,0.17
1_shp,-6.6489,106.8436,18,0.18
1_shp,-6.6506,106.8449,19,0.10
1_shp,-6.6550,106.8468,20,0.20
1_shp,-6.6550,106.8466,21,0.21
1_shp,-6.6505,106.8447,22,0.22
1_shp,-6.6486,106.8432,23,0.23
1_shp,-6.6471,106.8425,24,0.24
1_shp,-6.6409,106.8356,25,0.25
1_shp,-6.6371,106.8300,26,0.26
1_shp,-6.6354,106.8275,27,0.27
1_shp,-6.6339,106.8260,28,0.28
1_shp,-6.6290,106.8237,29,0.29
1_shp,-6.6250,106.8205,30,0.30
1_shp,-6.6213,106.8160,31,0.31
1_shp,-6.6207,106.8162,32,0.32
1_shp,-6.6163,106.8145,33,0.33
1_shp,-6.6152,106.8141,34,0.34
1_shp,-6.6117,106.8123,35,0.35
1_shp,-6.6079,106.8096,36,0.36
1_shp,-6.60366,106.80612,37,0.37
