shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
AK-01,-6.5938,106.7936,11,0.11,gedongsawah-crossing
AK-01,-6.5945,106.7946,10,0.10,kb-gedong-sawah
AK-01,-6.5930,106.7973,10,0.10,kb-polisi-militer
AK-01,-6.5935,106.7984,10,0.10,kb-jalak-harupat
AK-01,-6.5922,106.8009,10,0.10,kb-sempur
AK-01,-6.5926,106.8018,10,0.10,kb-salak
AK-01,-6.5935,106.8029,10,0.10,kb-pangrango
AK-01,-6.5959,106.8044,7,0.07,kb-astrid
AK-01,-6.6009,106.8052,8,0.08,kb-botani-1
AK-01,-6.6016,106.8047,9,0.09,kb-botani-2
AK-01,-6.6027,106.7996,10,0.10,kb-otista
AK-01,-6.6031,106.7988,10,0.10,kb-suryakencana
AK-01,-6.6048,106.7997,10,0.10,suryakencana-1
AK-01,-6.6082,106.8025,10,0.10,suryakencana-2
AK-01,-6.6118,106.8065,10,0.10,siliwangi-1
AK-01,-6.6164,106.8103,10,0.10,siliwangi-2
AK-01,-6.6201,106.8145,10,0.10,siliwangi-lawanggintung
AK-01,-6.6208,106.8124,10,0.10,lawanggintung-1
AK-01,-6.6235,106.8123,10,0.10,lawanggintung-2
AK-01,-6.6238,106.8101,10,0.10,lawanggintung-3
AK-01,-6.6246,106.8099,10,0.10,lawanggintung-4
AK-01,-6.6250,106.8093,10,0.10,lawanggintung-5
AK-01,-6.6248,106.8091,10,0.10,lawanggintung-cipaku
AK-01,-6.6251,106.8091,10,0.10,cipaku-1
AK-01,-6.6254,106.8099,10,0.10,cipaku-2
AK-01,-6.6259,106.8101,10,0.10,cipaku-3
AK-01,-6.6258,106.8095,10,0.10,cipaku-4
AK-01,-6.6260,106.8093,10,0.10,cipaku-danasasmita
AK-01,-6.6264,106.8097,10,0.10,danasasmita-1
AK-01,-6.6277,106.8102,10,0.10,danasasmita-diredja
AK-01,-6.6280,106.8085,10,0.10,diredja-1
AK-01,-6.6286,106.8084,10,0.10,diredja-2
AK-01,-6.6283,106.8077,10,0.10,diredja-3
AK-01,-6.6287,106.8073,10,0.10,diredja-cipinanggading
AK-01,-6.6271,106.8032,10,0.10,cipinanggading-1
AK-01,-6.6234,106.8014,10,0.10,cipinanggading-2
AK-01,-6.6230,106.8005,10,0.10,cipinanggading-ranggamekar
AK-01,-6.6220,106.8006,10,0.10,ranggamekar-1
AK-01,-6.6214,106.7989,10,0.10,ranggamekar-2
AK-01,-6.6220,106.8006,10,0.10,ranggamekar-1
AK-01,-6.6230,106.8005,10,0.10,cipinanggading-ranggamekar
AK-01,-6.6235,106.7992,10,0.10,cipinanggading-nirwana
AK-01,-6.6226,106.7986,10,0.10,nirwana-1
AK-01,-6.6231,106.7979,10,0.10,nirwana-2
AK-01,-6.6213,106.7968,10,0.10,nirwana-3
AK-01,-6.6198,106.7965,10,0.10,nirwana-4
AK-01,-6.6178,106.7971,10,0.10,nirwana-5
AK-01,-6.6182,106.7992,10,0.10,nirwana-6
AK-01,-6.6179,106.7998,10,0.10,nirwana-dreded
AK-01,-6.6155,106.8014,10,0.10,dreded-1
AK-01,-6.6142,106.8034,10,0.10,dreded-pahlawan
AK-01,-6.6123,106.8021,10,0.10,pahlawan-ggaut
AK-01,-6.6113,106.8000,10,0.10,pahlawan-3
AK-01,-6.6082,106.7964,10,0.10,pahlawan-4
AK-01,-6.6077,106.7949,10,0.10,pahlawan-empang
AK-01,-6.6060,106.7954,10,0.10,halte-empang
AK-01,-6.6046,106.7965,10,0.10,btm-3
AK-01,-6.6038,106.7961,10,0.10,kb-btm-2
AK-01,-6.6038,106.7961,10,0.10,kb-btm-2
AK-01,-6.5969,106.7937,10,0.10,kb-muslihat
AK-01,-6.5959,106.7897,10,0.10,stasiun-paledang
AK-01,-6.5955,106.7884,10,0.10,veteran-merdeka
AK-01,-6.5956,106.7876,10,0.10,veteran-kemerdekaan
AK-01,-6.5932,106.7866,10,0.10,kemerdekaan
AK-01,-6.5931,106.7878,10,0.10,merdeka
AK-01,-6.5903,106.7877,11,0.11,merdeka-salamun
AK-01,-6.5906,106.7906,11,0.11,salamun-oking
AK-01,-6.5958,106.7895,11,0.11,muslihat-oking
AK-01,-6.5963,106.7915,11,0.11,muslihat-dewisartika
AK-01,-6.5928,106.7924,11,0.11,dewisartika-mekah
AK-01,-6.5927,106.7939,11,0.11,mekah-gedongsawah
AK-01,-6.5932,106.7939,11,0.11,gedongsawah-1
AK-01,-6.5938,106.7936,11,0.11,gedongsawah-crossing
AK-02,-6.6038,106.7961,10,0.10,kb-btm-2
AK-02,-6.5969,106.7937,10,0.10,kb-muslihat
AK-02,-6.5959,106.7897,10,0.10,stasiun-paledang
AK-02,-6.5955,106.7884,10,0.10,veteran-merdeka
AK-02,-6.5956,106.7876,10,0.10,veteran-kemerdekaan
AK-02,-6.5953,106.7846,10,0.10,veteran
AK-02,-6.5944,106.7826,10,0.10,veteran-gnbatu
AK-02,-6.5963,106.7807,10,0.10,gnbatu-1
AK-02,-6.5961,106.7795,10,0.10,gnbatu-2
AK-02,-6.5878,106.7721,10,0.10,gnbatu-3
AK-02,-6.5961,106.7795,10,0.10,gnbatu-2
AK-02,-6.5963,106.7807,10,0.10,gnbatu-1
AK-02,-6.5944,106.7826,10,0.10,veteran-gnbatu
AK-02,-6.5953,106.7846,10,0.10,veteran
AK-02,-6.5956,106.7876,10,0.10,veteran-kemerdekaan
AK-02,-6.5932,106.7866,10,0.10,kemerdekaan
AK-02,-6.5931,106.7878,10,0.10,merdeka
AK-02,-6.5955,106.7884,10,0.10,veteran-merdeka
AK-02,-6.5959,106.7897,10,0.10,stasiun-paledang
AK-02,-6.5969,106.7937,10,0.10,kb-muslihat
AK-02,-6.5945,106.7946,10,0.10,kb-gedong-sawah
AK-02,-6.5930,106.7973,10,0.10,kb-polisi-militer
AK-02,-6.5935,106.7984,10,0.10,kb-jalak-harupat
AK-02,-6.5922,106.8009,10,0.10,kb-sempur
AK-02,-6.5926,106.8018,10,0.10,kb-salak
AK-02,-6.5935,106.8029,10,0.10,kb-pangrango
AK-02,-6.5959,106.8044,7,0.07,kb-astrid
AK-02,-6.6009,106.8052,8,0.08,kb-botani-1
AK-02,-6.6016,106.8047,9,0.09,kb-botani-2
AK-02,-6.6027,106.7996,10,0.10,kb-otista
AK-02,-6.6031,106.7988,10,0.10,kb-suryakencana
AK-02,-6.6048,106.7997,10,0.10,suryakencana-1
AK-02,-6.6082,106.8025,10,0.10,suryakencana-2
AK-02,-6.6118,106.8065,10,0.10,siliwangi-1
AK-02,-6.6164,106.8103,10,0.10,siliwangi-2
AK-02,-6.6201,106.8145,10,0.10,siliwangi-lawanggintung
AK-02,-6.6208,106.8124,10,0.10,lawanggintung-1
AK-02,-6.6235,106.8123,10,0.10,lawanggintung-2
AK-02,-6.6238,106.8101,10,0.10,lawanggintung-3
AK-02,-6.6246,106.8099,10,0.10,lawanggintung-4
AK-02,-6.6250,106.8093,10,0.10,lawanggintung-5
AK-02,-6.6245,106.8089,10,0.10,batutulis-1
AK-02,-6.6218,106.8086,10,0.10,batutulis-2
AK-02,-6.6215,106.8079,10,0.10,batutulis-3
AK-02,-6.6188,106.8069,10,0.10,batutulis-pahlawan
AK-02,-6.6163,106.8045,10,0.10,pahlawan-1
AK-02,-6.6142,106.8034,10,0.10,dreded-pahlawan
AK-02,-6.6123,106.8021,10,0.10,pahlawan-ggaut
AK-02,-6.6113,106.8000,10,0.10,pahlawan-3
AK-02,-6.6082,106.7964,10,0.10,pahlawan-4
AK-02,-6.6077,106.7949,10,0.10,pahlawan-empang
AK-02,-6.6060,106.7954,10,0.10,halte-empang
AK-02,-6.6046,106.7965,10,0.10,btm-3
AK-02,-6.6038,106.7961,10,0.10,kb-btm-2
AK-03,-6.6038,106.7961,10,0.10,kb-btm-2
AK-03,-6.5969,106.7937,10,0.10,kb-muslihat
AK-03,-6.5959,106.7897,10,0.10,stasiun-paledang
AK-03,-6.5955,106.7884,10,0.10,veteran-merdeka
AK-03,-6.5956,106.7876,10,0.10,veteran-kemerdekaan
AK-03,-6.5953,106.7846,10,0.10,veteran
AK-03,-6.5944,106.7826,10,0.10,veteran-gnbatu
AK-03,-6.5963,106.7807,10,0.10,gnbatu-1
AK-03,-6.5961,106.7795,10,0.10,gnbatu-2
AK-03,-6.5878,106.7721,10,0.10,gnbatu-3
AK-03,-6.5961,106.7795,10,0.10,gnbatu-2
AK-03,-6.5963,106.7807,10,0.10,gnbatu-1
AK-03,-6.5944,106.7826,10,0.10,veteran-gnbatu
AK-03,-6.5953,106.7846,10,0.10,veteran
AK-03,-6.5956,106.7876,10,0.10,veteran-kemerdekaan
AK-03,-6.5932,106.7866,10,0.10,kemerdekaan
AK-03,-6.5931,106.7878,10,0.10,merdeka
AK-03,-6.5955,106.7884,10,0.10,veteran-merdeka
AK-03,-6.5959,106.7897,10,0.10,stasiun-paledang
